Ptc-Diff,N2pc-Diff,Group,WM-Acc,VS-Acc,WM-RT,VS-RT
1.19,0.46,1,0.86,0.89,1217.97,621.85
1.39,-1.7,1,0.88,0.95,1384.95,714.65
1.39,-0.24,1,0.87,0.97,1362.07,675.29
1.09,0.53,1,0.92,0.91,1335.65,668.95
-1.52,0.02,1,0.86,0.93,1379,834.37
0.94,-0.48,1,0.88,0.9,1245.16,811.01
1.25,0.78,1,0.93,0.89,901.37,551.17
-0.26,0.24,1,0.91,0.96,1016.58,704.92
-0.72,0.24,1,0.88,0.91,1265.96,822.97
-0.49,-1.1,1,0.95,0.95,1095.48,747.81
1.35,1.27,1,0.93,0.9,1251.08,849.03
0.6,-0.02,1,0.83,0.95,1102.68,762.18
0.37,0.2,1,0.86,0.94,1104.21,781.31
0.13,-1.15,1,0.87,0.95,1344.2,781.84
-0.25,1.45,1,0.86,0.84,1271.49,803.82
0.54,0.14,1,0.84,0.93,1281.09,747.99
0.56,0.32,1,0.84,0.93,1582.55,879.67
0.27,-0.53,1,0.82,0.87,1226.28,745.69
1.3,0.4,1,0.84,0.85,1231.46,590.96
0.34,0.06,1,0.82,0.92,1283.52,725.13
0.22,0.11,2,0.86,0.97,799.07,467.61
-0.51,-0.19,2,0.8,0.91,746.17,467.84
1.55,0.53,2,0.87,0.95,940.86,660.22
-0.75,-0.25,2,0.93,0.97,1159.77,563.53
0.26,-0.4,2,0.87,0.99,720.53,515.05
-0.19,-0.74,2,0.82,0.91,930.21,481.81
-1.99,0.43,2,0.87,0.96,956.87,499.62
0.61,0.3,2,0.75,0.86,996.41,525.96
-0.11,0.53,2,0.91,0.99,907.48,526.93
0.02,-0.4,2,0.74,0.9,1135.3,663.63
1.62,-0.54,2,0.89,0.96,920.79,565.53
-0.19,-0.5,2,0.87,0.95,1115.01,454.25
-0.74,-0.36,2,0.93,0.89,773.08,487.09
-1.46,-1.05,2,0.89,0.93,863.61,603.67
-0.42,-0.05,2,0.86,0.91,1031.57,538.63
-0.06,-0.74,2,0.84,0.94,975.61,622.08
1.22,-1.53,2,0.82,0.94,879.37,476.46
0.23,-0.76,2,0.86,0.68,909.73,457.46
